temperature,individual,week,country,egg_masses,size,weeks_survived,dead,population_id,experiment_id,snail_id
8,1071,2,Corsica,0,5,9,0,1,1,23
8,1071,3,Corsica,0,5.1,9,0,1,1,23
8,1071,4,Corsica,0,4.6,9,0,1,1,23
8,1071,5,Corsica,0,4.6,9,0,1,1,23
8,1076,2,Corsica,0,5.4,14,0,1,1,24
8,1076,3,Corsica,0,5.3,14,0,1,1,24
8,1076,4,Corsica,0,5.5,14,0,1,1,24
8,1076,5,Corsica,0,5.5,14,0,1,1,24
8,1076,6,Corsica,0,5.3,14,0,1,1,24
8,1076,7,Corsica,0,5.5,14,0,1,1,24
8,1076,8,Corsica,0,5.4,14,0,1,1,24
8,1076,9,Corsica,0,5.4,14,0,1,1,24
8,1076,10,Corsica,0,5.4,14,0,1,1,24
8,1076,11,Corsica,0,5.4,14,0,1,1,24
8,1076,12,Corsica,0,5.4,14,0,1,1,24
8,1076,13,Corsica,0,5.4,14,0,1,1,24
8,1076,14,Corsica,0,5.4,14,0,1,1,24
8,1078,2,Corsica,0,5.9,14,0,1,1,25
8,1078,3,Corsica,0,5.9,14,0,1,1,25
8,1078,4,Corsica,0,6,14,0,1,1,25
8,1078,5,Corsica,0,5.9,14,0,1,1,25
8,1078,6,Corsica,0,6.1,14,0,1,1,25
8,1078,7,Corsica,0,6,14,0,1,1,25
8,1078,8,Corsica,0,6,14,0,1,1,25
8,1078,9,Corsica,0,6,14,0,1,1,25
8,1078,10,Corsica,0,6,14,0,1,1,25
8,1078,11,Corsica,0,6,14,0,1,1,25
8,1078,12,Corsica,0,5.9,14,0,1,1,25
8,1078,13,Corsica,0,6,14,0,1,1,25
8,1078,14,Corsica,0,5.9,14,0,1,1,25
8,1079,2,Corsica,0,5,14,0,1,1,26
8,1079,3,Corsica,0,5,14,0,1,1,26
8,1079,4,Corsica,0,5.1,14,0,1,1,26
8,1079,5,Corsica,0,4.9,14,0,1,1,26
8,1079,6,Corsica,0,5,14,0,1,1,26
8,1079,7,Corsica,0,5,14,0,1,1,26
8,1079,8,Corsica,0,5,14,0,1,1,26
8,1079,9,Corsica,0,5,14,0,1,1,26
8,1079,10,Corsica,0,5.1,14,0,1,1,26
8,1079,11,Corsica,0,5.1,14,0,1,1,26
8,1079,12,Corsica,0,5.1,14,0,1,1,26
8,1079,13,Corsica,0,5.1,14,0,1,1,26
8,1079,14,Corsica,0,5.1,14,0,1,1,26
8,1332,2,Corsica,0,5.7,14,0,1,1,27
8,1332,3,Corsica,0,5.8,14,0,1,1,27
8,1332,4,Corsica,0,5.8,14,0,1,1,27
8,1332,5,Corsica,0,5.8,14,0,1,1,27
8,1332,6,Corsica,0,5.8,14,0,1,1,27
8,1332,7,Corsica,0,5.8,14,0,1,1,27
8,1332,8,Corsica,0,5.8,14,0,1,1,27
8,1332,9,Corsica,0,5.8,14,0,1,1,27
8,1332,10,Corsica,0,5.8,14,0,1,1,27
8,1332,11,Corsica,0,5.9,14,0,1,1,27
8,1332,12,Corsica,0,5.9,14,0,1,1,27
8,1332,13,Corsica,0,5.9,14,0,1,1,27
8,1332,14,Corsica,0,5.9,14,0,1,1,27
8,1578,3,Corsica,0,4.9,14,0,1,1,28
8,1578,4,Corsica,0,4.7,14,0,1,1,28
8,1578,5,Corsica,0,4.7,14,0,1,1,28
8,1578,6,Corsica,0,4.7,14,0,1,1,28
8,1578,7,Corsica,0,4.6,14,0,1,1,28
8,1578,8,Corsica,0,4.7,14,0,1,1,28
8,1578,9,Corsica,0,4.7,14,0,1,1,28
8,1578,10,Corsica,0,4.7,14,0,1,1,28
8,1578,11,Corsica,0,4.7,14,0,1,1,28
8,1578,12,Corsica,0,4.6,14,0,1,1,28
8,1578,13,Corsica,0,4.6,14,0,1,1,28
8,1578,14,Corsica,0,4.6,14,0,1,1,28
8,1579,2,Corsica,0,5.2,14,0,1,1,29
8,1579,3,Corsica,0,5.2,14,0,1,1,29
8,1579,4,Corsica,0,5.3,14,0,1,1,29
8,1579,5,Corsica,0,5.4,14,0,1,1,29
8,1579,6,Corsica,0,5.3,14,0,1,1,29
8,1579,7,Corsica,0,5.3,14,0,1,1,29
8,1579,8,Corsica,0,5.3,14,0,1,1,29
8,1579,9,Corsica,0,5.3,14,0,1,1,29
8,1579,10,Corsica,0,5.3,14,0,1,1,29
8,1579,11,Corsica,0,5.3,14,0,1,1,29
8,1579,12,Corsica,0,5.2,14,0,1,1,29
8,1579,13,Corsica,0,5.2,14,0,1,1,29
8,1579,14,Corsica,0,5.3,14,0,1,1,29
8,1580,2,Corsica,0,5,14,0,1,1,30
8,1580,3,Corsica,0,5.1,14,0,1,1,30
8,1580,4,Corsica,0,5,14,0,1,1,30
8,1580,5,Corsica,0,5,14,0,1,1,30
8,1580,6,Corsica,0,5,14,0,1,1,30
8,1580,7,Corsica,0,5,14,0,1,1,30
8,1580,8,Corsica,0,5,14,0,1,1,30
8,1580,9,Corsica,0,5,14,0,1,1,30
8,1580,10,Corsica,0,5.1,14,0,1,1,30
8,1580,11,Corsica,0,5,14,0,1,1,30
8,1580,12,Corsica,0,5,14,0,1,1,30
8,1580,13,Corsica,0,5,14,0,1,1,30
8,1580,14,Corsica,0,5,14,0,1,1,30
8,1581,2,Corsica,0,4.6,14,0,1,1,31
8,1581,3,Corsica,0,4.6,14,0,1,1,31
8,1581,4,Corsica,0,4.6,14,0,1,1,31
8,1581,5,Corsica,0,4.6,14,0,1,1,31
8,1581,6,Corsica,0,4.6,14,0,1,1,31
8,1581,7,Corsica,0,4.6,14,0,1,1,31
8,1581,8,Corsica,0,4.6,14,0,1,1,31
8,1581,9,Corsica,0,4.7,14,0,1,1,31
8,1581,10,Corsica,0,4.7,14,0,1,1,31
8,1581,11,Corsica,0,4.7,14,0,1,1,31
8,1581,12,Corsica,0,4.7,14,0,1,1,31
8,1581,13,Corsica,0,4.7,14,0,1,1,31
8,1581,14,Corsica,0,4.7,14,0,1,1,31
8,1582,2,Corsica,0,4.8,14,0,1,1,32
8,1582,3,Corsica,0,4.7,14,0,1,1,32
8,1582,4,Corsica,0,4.6,14,0,1,1,32
8,1582,5,Corsica,0,4.8,14,0,1,1,32
8,1582,6,Corsica,0,4.8,14,0,1,1,32
8,1582,7,Corsica,0,4.8,14,0,1,1,32
8,1582,8,Corsica,0,4.8,14,0,1,1,32
8,1582,9,Corsica,0,4.9,14,0,1,1,32
8,1582,10,Corsica,0,4.9,14,0,1,1,32
8,1582,11,Corsica,0,4.9,14,0,1,1,32
8,1582,12,Corsica,0,4.9,14,0,1,1,32
8,1582,13,Corsica,0,5,14,0,1,1,32
8,1582,14,Corsica,0,4.9,14,0,1,1,32
8,1584,2,Corsica,0,5.5,14,0,1,1,33
8,1584,3,Corsica,0,5.3,14,0,1,1,33
8,1584,4,Corsica,0,5.4,14,0,1,1,33
8,1584,5,Corsica,0,5.4,14,0,1,1,33
8,1584,6,Corsica,0,5.4,14,0,1,1,33
8,1584,7,Corsica,0,5.4,14,0,1,1,33
8,1584,8,Corsica,0,5.4,14,0,1,1,33
8,1584,9,Corsica,0,5.4,14,0,1,1,33
8,1584,10,Corsica,0,5.5,14,0,1,1,33
8,1584,11,Corsica,0,5.5,14,0,1,1,33
8,1584,12,Corsica,0,5.5,14,0,1,1,33
8,1584,13,Corsica,0,5.6,14,0,1,1,33
8,1584,14,Corsica,0,5.5,14,0,1,1,33
8,1829,2,Corsica,0,4.8,14,0,1,1,34
8,1829,3,Corsica,0,4.7,14,0,1,1,34
8,1829,4,Corsica,0,4.8,14,0,1,1,34
8,1829,5,Corsica,0,4.8,14,0,1,1,34
8,1829,6,Corsica,0,4.8,14,0,1,1,34
8,1829,7,Corsica,0,4.8,14,0,1,1,34
8,1829,8,Corsica,0,4.8,14,0,1,1,34
8,1829,9,Corsica,0,4.8,14,0,1,1,34
8,1829,10,Corsica,0,4.8,14,0,1,1,34
8,1829,11,Corsica,0,4.8,14,0,1,1,34
8,1829,12,Corsica,0,4.9,14,0,1,1,34
8,1829,13,Corsica,0,5,14,0,1,1,34
8,1829,14,Corsica,0,5,14,0,1,1,34
8,1830,2,Corsica,0,5.2,14,0,1,1,35
8,1830,3,Corsica,0,5.3,14,0,1,1,35
8,1830,4,Corsica,0,5.2,14,0,1,1,35
8,1830,5,Corsica,0,5.2,14,0,1,1,35
8,1830,6,Corsica,0,5.3,14,0,1,1,35
8,1830,7,Corsica,0,5.2,14,0,1,1,35
8,1830,8,Corsica,0,5.2,14,0,1,1,35
8,1830,9,Corsica,0,5.2,14,0,1,1,35
8,1830,10,Corsica,0,5.2,14,0,1,1,35
8,1830,11,Corsica,0,5.3,14,0,1,1,35
8,1830,12,Corsica,0,5.2,14,0,1,1,35
8,1830,13,Corsica,0,5.2,14,0,1,1,35
8,1830,14,Corsica,0,5.2,14,0,1,1,35
8,1831,2,Corsica,0,6.3,14,0,1,1,36
8,1831,3,Corsica,0,6.5,14,0,1,1,36
