"ID","Species","authors_gbifID","year_of_publication","country_of_collection","locallity_of_collection","y","x","coordinate_source","year_of_collection","identification_method"
80,"target_group","1826360451",NA,"Niger","Libore. Libore",13.39002,2.19714,"gbif","2013","unknown"
81,"target_group","1826360480",NA,"Niger","Doguel Kaina. Doguel Kaina",13.29273,2.32335,"gbif","2013","unknown"
82,"target_group","1826360636",NA,"Niger","Say. Say",13.11028,2.34223,"gbif","2013","unknown"
83,"target_group","1826360655",NA,"Niger","Bangou Koirey. Bangou Koirey",13.60475,1.90509,"gbif","2013","unknown"
84,"target_group","1826360684",NA,"Niger","Lata. Lata",13.74193,1.68262,"gbif","2013","unknown"
85,"target_group","1826360719",NA,"Niger","Zama Koira Tegui. Zama Koira Tegui",13.70432,1.72169,"gbif","2013","unknown"
86,"target_group","1826360751",NA,"Niger","Say. Say",13.09848,2.37032,"gbif","2014","unknown"
87,"target_group","1826360811",NA,"Niger","Tillaberi; Diambala. Diambala",14.31071,1.29644,"gbif","2014","unknown"
88,"target_group","1826360857",NA,"Niger","Doguel Kaina. Doguel Kaina",13.28724,2.32726,"gbif","2014","unknown"
89,"target_group","1826360877",NA,"Niger","Namaro. Namaro",13.71124,1.69775,"gbif","2014","unknown"
90,"target_group","1826360891",NA,"Niger","Lata. Lata",13.75618,1.67031,"gbif","2014","unknown"
91,"target_group","1826360941",NA,"Niger","Libore. Libore",13.39001,2.19713,"gbif","2013","unknown"
92,"target_group","1826360945",NA,"Niger","Yoreize Koira. Yoreize Koira",13.61638,1.87466,"gbif","2014","unknown"
93,"target_group","1826360972",NA,"Niger","Say. Koutoukale",13.68381,1.75045,"gbif","2014","unknown"
94,"target_group","1826360985",NA,"Niger","Kollo; Tiaguirire. Tiaguirire",13.27176,2.33823,"gbif","2014","unknown"
95,"target_group","1826361002",NA,"Niger","Namaro. Namaro",13.68974,1.71444,"gbif","2014","unknown"
96,"target_group","1826361006",NA,"Niger","Namaro. Namaro",13.7102,1.69744,"gbif","2014","unknown"
97,"target_group","1826361023",NA,"Niger","Say; Koutoukale|Nearest Named Place: Koutoukale Zeno",13.68351,1.75121,"gbif","2014","unknown"
98,"target_group","1826361032",NA,"Niger","Tagabati. Tagabati",13.62944,1.87799,"gbif","2014","unknown"
99,"target_group","1826361067",NA,"Niger","Lata|Nearest Named Place: Lata Kabia",13.76385,1.66861,"gbif","2014","unknown"
100,"target_group","1826361109",NA,"Niger","Lata. Lata",13.74196,1.68257,"gbif","2014","unknown"
101,"target_group","1826361125",NA,"Niger","Lata|Nearest Named Place: Lata Kabia",13.76104,1.67135,"gbif","2014","unknown"
102,"target_group","1826361135",NA,"Niger","Tillaberi; Namari Goungou. Namari Goungou",14.34488,1.24571,"gbif","2014","unknown"
103,"target_group","1826361214",NA,"Niger","Namaro. Namaro",13.71095,1.69746,"gbif","2014","unknown"
104,"target_group","1826361315",NA,"Niger","Zama Koira Tegui. Zama Koira Tegui",13.70186,1.71945,"gbif","2014","unknown"
105,"target_group","1826361327",NA,"Niger","Lata. Lata",13.7561,1.67038,"gbif","2014","unknown"
106,"target_group","1826361557",NA,"Niger","Zama Koira Tegui. Zama Koira Tegui",13.709,1.71364,"gbif","2014","unknown"
107,"target_group","1826361928",NA,"Niger","Karma. Karma",13.6664,1.82505,"gbif","2015","unknown"
108,"target_group","1826362077",NA,"Niger","Say. Doguel Kaina",13.28259,2.33279,"gbif","2015","unknown"
109,"target_group","1826362103",NA,"Senegal","Nieti-Yone. Nieti-Yone. Nieti-Yone",16.349098,-15.884401,"gbif","2015","unknown"
110,"target_group","1826362106",NA,"Senegal","Ndonba|Parish: Ndombo",16.439898,-15.698325,"gbif","2015","unknown"
111,"target_group","1826362124",NA,"Senegal","Richard Toll. Richard Toll. Richard Toll",16.471553,-15.719265,"gbif","2016","unknown"
112,"target_group","1826362135",NA,"Senegal","Richard Toll|Parish: Ndombo",16.452233,-15.695106,"gbif","2015","unknown"
113,"target_group","1826362169",NA,"Senegal","Ndonba|Parish: Ndombo",16.433788,-15.69973,"gbif","2015","unknown"
114,"target_group","1826362179",NA,"Senegal","Ndiangue|Parish: Richard Toll",16.416878,-15.711188,"gbif","2015","unknown"
115,"target_group","1826362320",NA,"Senegal","Nder|Parish: Lac de Guiers",16.266271,-15.874553,"gbif","2015","unknown"
116,"target_group","1826362345",NA,"Senegal","Thiago. Thiago. Thiago",16.397668,-15.72272,"gbif","2015","unknown"
117,"target_group","1826362346",NA,"Senegal","Mbane|Parish: Lac de Guiers",16.270771,-15.801575,"gbif","2015","unknown"
118,"target_group","1826362347",NA,"Senegal","Richard Toll|Parish: Ndombo",16.454391,-15.694671,"gbif","2016","unknown"
119,"target_group","1826362379",NA,"Senegal","Djidery. Djidery. Djidery",16.480958,-15.613241,"gbif","2015","unknown"
120,"target_group","1826362386",NA,"Senegal","Thiago. Thiago. Thiago",16.400488,-15.72045,"gbif","2016","unknown"
121,"target_group","1826362432",NA,"Senegal","Ndonba|Parish: Ndombo",16.435941,-15.699291,"gbif","2016","unknown"
122,"target_group","1826362626",NA,"Senegal","Ndiangue|Parish: Richard Toll",16.4723,-15.71102,"gbif","2015","unknown"
123,"target_group","1826362636",NA,"Senegal","Djidery. Djidery. Djidery",16.480953,-15.61247,"gbif","2015","unknown"
124,"target_group","1826362651",NA,"Senegal","Deroudji|Parish: Richard Toll",16.418931,-15.709343,"gbif","2015","unknown"
125,"target_group","1826362653",NA,"Senegal","Mbane|Parish: Lac de Guiers",16.274161,-15.799793,"gbif","2015","unknown"
126,"target_group","1826362681",NA,"Senegal","St Louis; Temey",16.329383,-15.7676,"gbif","2016","unknown"
127,"target_group","1826362682",NA,"Senegal","Mbane|Parish: Lac de Guiers",16.254975,-15.796008,"gbif","2015","unknown"
128,"target_group","1826362687",NA,"Senegal","Nder|Parish: Lac de Guiers",16.264486,-15.873948,"gbif","2015","unknown"
129,"target_group","1826362693",NA,"Senegal","Richard Toll. Richard Toll. Richard Toll",16.47266,-15.717691,"gbif","2015","unknown"
130,"target_group","1826362779",NA,"Senegal","Maka Diama. Richard Toll. St Louis",16.217379,-16.38248,"gbif","2016","unknown"
131,"target_group","1826362916",NA,"Senegal","Lampsar. Richard Toll. St Louis",16.1131,-16.349023,"gbif","2016","unknown"
