"source","population","temperature","country","weeks_survived","survived","exp_length","sample_size","experiment_index","population_index"
,,24,"Senegal",5,0,15,,13,1
,,24,"Senegal",0,0,15,,13,1
,,24,"Senegal",,1,5,,13,1
,,24,"Senegal",,1,8,,13,1
,,24,"Senegal",8,0,15,,13,1
,,24,"Senegal",0,0,15,,13,1
,,24,"Senegal",,1,4,,13,1
,,24,"Senegal",0,0,15,,13,1
,,24,"Senegal",4,0,15,,13,1
,,24,"Senegal",,1,6,,13,1
,,24,"Senegal",,1,7,,13,1
,,24,"Senegal",2,0,15,,13,1
,,24,"Senegal",11,0,15,,13,1
,,24,"Senegal",11,0,15,,13,1
,,24,"Senegal",10,0,15,,13,1
,,24,"Senegal",11,0,15,,13,1
,,24,"Senegal",10,0,15,,13,1
,,24,"Senegal",,1,11,,13,1
,,24,"Senegal",,1,8,,13,1
,,24,"Senegal",8,0,15,,13,1
,,24,"Senegal",0,0,15,,13,1
,,24,"Senegal",,1,8,,13,1
,,24,"Senegal",5,0,15,,13,1
,,24,"Senegal",8,0,15,,13,1
,,24,"Senegal",4,0,15,,13,1
,,24,"Senegal",,1,9,,13,1
,,24,"Senegal",9,0,15,,13,1
,,24,"Senegal",,1,1,,13,1
,,24,"Senegal",,1,9,,13,1
,,24,"Senegal",9,0,15,,13,1
,,24,"Senegal",3,0,15,,13,1
,,24,"Senegal",4,0,15,,13,1
,,24,"Senegal",,1,4,,13,1
,,24,"Senegal",2,0,15,,13,1
,,24,"Senegal",10,0,15,,13,1
,,24,"Senegal",10,0,15,,13,1
,,24,"Senegal",,1,9,,13,1
,,24,"Senegal",,1,8,,13,1
,,24,"Senegal",,1,1,,13,1
,,24,"Senegal",5,0,15,,13,1
,,24,"Senegal",,1,6,,13,1
,,24,"Senegal",6,0,15,,13,1
,,24,"Senegal",,1,7,,13,1
,,24,"Senegal",3,0,15,,13,1
,,24,"Senegal",,1,6,,13,1
,,24,"Senegal",,1,6,,13,1
,,24,"Senegal",,1,5,,13,1
,,24,"Senegal",5,0,15,,13,1
,,24,"Senegal",,1,-1,,13,1
,,24,"Senegal",,1,7,,13,1
,,24,"Senegal",7,0,15,,13,1
,,24,"Senegal",,1,-1,,13,1
,,24,"Senegal",7,0,15,,13,1
,,24,"Senegal",7,0,15,,13,1
